label,message
spam,FREE membership activated! Confirm at http://offer-claim-now.com
spam,Claim your CASHBACK reward of $355. Visit http://offer-claim-now.com
spam,URGENT: Your account will be locked. Verify at http://verify-now.co
spam,WIN $740 NOW! Click http://offer-claim-now.com to claim your reward!
spam,Your package is on hold. Pay $1626 clearance fee at http://reward-center.co
spam,FINAL NOTICE: Outstanding fee $101. Pay here: http://offer-claim-now.com
spam,You are selected for VIP access. Register at http://reward-center.co
spam,URGENT: Your account will be locked. Verify at http://secure-update.net
spam,Claim your CASHBACK reward of $550. Visit http://offer-claim-now.com
spam,FINAL NOTICE: Outstanding fee $1927. Pay here: http://offer-claim-now.com
spam,WIN $1222 NOW! Click http://win-big-today.io to claim your reward!
spam,URGENT: Your account will be locked. Verify at http://offer-claim-now.com
spam,URGENT: Your account will be locked. Verify at http://reward-center.co
spam,FINAL NOTICE: Outstanding fee $666. Pay here: http://secure-update.net
spam,FINAL NOTICE: Outstanding fee $1779. Pay here: http://reward-center.co
spam,Claim your CASHBACK reward of $1495. Visit http://secure-update.net
spam,Claim your CASHBACK reward of $1686. Visit http://offer-claim-now.com
spam,Limited-time offer: Get Smartwatch for 90% off! Redeem at http://win-big-today.io
spam,FINAL NOTICE: Outstanding fee $1341. Pay here: http://secure-update.net
spam,You are selected for VIP access. Register at http://offer-claim-now.com
spam,Congratulations! You've been selected for a FREE Smartwatch. Visit http://secure-update.net now.
spam,WIN $1923 NOW! Click http://offer-claim-now.com to claim your reward!
spam,Congratulations! You've been selected for a FREE Smartwatch. Visit http://secure-update.net now.
spam,WIN $259 NOW! Click http://win-big-today.io to claim your reward!
spam,Claim your CASHBACK reward of $1625. Visit http://reward-center.co
spam,FREE membership activated! Confirm at http://secure-update.net
spam,URGENT: Your account will be locked. Verify at http://reward-center.co
spam,You are selected for VIP access. Register at http://offer-claim-now.com
spam,You are selected for VIP access. Register at http://verify-now.co
spam,You've won a lottery prize of $303! Call 0901234567 immediately.
spam,FINAL NOTICE: Outstanding fee $191. Pay here: http://offer-claim-now.com
spam,URGENT: Your account will be locked. Verify at http://secure-update.net
spam,Your package is on hold. Pay $666 clearance fee at http://reward-center.co
spam,FINAL NOTICE: Outstanding fee $637. Pay here: http://win-big-today.io
spam,FINAL NOTICE: Outstanding fee $504. Pay here: http://reward-center.co
spam,Congratulations! You've been selected for a FREE Laptop. Visit http://verify-now.co now.
spam,Your package is on hold. Pay $1524 clearance fee at http://reward-center.co
spam,Congratulations! You've been selected for a FREE Cash Prize. Visit http://win-big-today.io now.
spam,FINAL NOTICE: Outstanding fee $1033. Pay here: http://reward-center.co
spam,FINAL NOTICE: Outstanding fee $1879. Pay here: http://win-big-today.io
spam,Congratulations! You've been selected for a FREE Cash Prize. Visit http://win-big-today.io now.
spam,WIN $1121 NOW! Click http://win-big-today.io to claim your reward!
spam,WIN $719 NOW! Click http://reward-center.co to claim your reward!
spam,FINAL NOTICE: Outstanding fee $1744. Pay here: http://secure-update.net
spam,You've won a lottery prize of $1235! Call 0809988776 immediately.
spam,WIN $115 NOW! Click http://secure-update.net to claim your reward!
spam,You are selected for VIP access. Register at http://offer-claim-now.com
spam,Your package is on hold. Pay $1955 clearance fee at http://offer-claim-now.com
spam,WIN $315 NOW! Click http://reward-center.co to claim your reward!
spam,Claim your CASHBACK reward of $1109. Visit http://secure-update.net
spam,FINAL NOTICE: Outstanding fee $927. Pay here: http://reward-center.co
spam,FREE membership activated! Confirm at http://offer-claim-now.com
spam,Congratulations! You've been selected for a FREE Cash Prize. Visit http://reward-center.co now.
spam,You've won a lottery prize of $278! Call 0901234567 immediately.
spam,Your package is on hold. Pay $1206 clearance fee at http://reward-center.co
spam,You've won a lottery prize of $1514! Call 0906677889 immediately.
spam,FINAL NOTICE: Outstanding fee $1214. Pay here: http://offer-claim-now.com
spam,You've won a lottery prize of $1470! Call 07044433221 immediately.
spam,Congratulations! You've been selected for a FREE iPhone 15. Visit http://offer-claim-now.com now.
spam,URGENT: Your account will be locked. Verify at http://secure-update.net
spam,URGENT: Your account will be locked. Verify at http://reward-center.co
spam,URGENT: Your account will be locked. Verify at http://win-big-today.io
spam,You are selected for VIP access. Register at http://verify-now.co
spam,FREE membership activated! Confirm at http://verify-now.co
spam,Your package is on hold. Pay $988 clearance fee at http://offer-claim-now.com
spam,Your package is on hold. Pay $1298 clearance fee at http://offer-claim-now.com
spam,FINAL NOTICE: Outstanding fee $951. Pay here: http://secure-update.net
spam,Claim your CASHBACK reward of $1003. Visit http://secure-update.net
spam,Claim your CASHBACK reward of $1851. Visit http://reward-center.co
spam,Limited-time offer: Get Laptop for 90% off! Redeem at http://secure-update.net
spam,Congratulations! You've been selected for a FREE Smartwatch. Visit http://reward-center.co now.
spam,You are selected for VIP access. Register at http://verify-now.co
spam,Congratulations! You've been selected for a FREE AirPods. Visit http://secure-update.net now.
spam,URGENT: Your account will be locked. Verify at http://offer-claim-now.com
spam,FINAL NOTICE: Outstanding fee $1195. Pay here: http://reward-center.co
spam,FREE membership activated! Confirm at http://win-big-today.io
spam,Congratulations! You've been selected for a FREE Gift Voucher. Visit http://win-big-today.io now.
spam,WIN $921 NOW! Click http://reward-center.co to claim your reward!
spam,URGENT: Your account will be locked. Verify at http://verify-now.co
spam,Claim your CASHBACK reward of $958. Visit http://verify-now.co
spam,Claim your CASHBACK reward of $914. Visit http://win-big-today.io
spam,Congratulations! You've been selected for a FREE iPhone 15. Visit http://verify-now.co now.
spam,You are selected for VIP access. Register at http://verify-now.co
spam,FINAL NOTICE: Outstanding fee $279. Pay here: http://reward-center.co
spam,Your package is on hold. Pay $421 clearance fee at http://verify-now.co
spam,WIN $621 NOW! Click http://win-big-today.io to claim your reward!
spam,Limited-time offer: Get iPhone 15 for 90% off! Redeem at http://secure-update.net
spam,Claim your CASHBACK reward of $1369. Visit http://secure-update.net
spam,Congratulations! You've been selected for a FREE AirPods. Visit http://win-big-today.io now.
spam,You are selected for VIP access. Register at http://reward-center.co
spam,URGENT: Your account will be locked. Verify at http://offer-claim-now.com
spam,You are selected for VIP access. Register at http://win-big-today.io
spam,Limited-time offer: Get Cash Prize for 90% off! Redeem at http://reward-center.co
spam,FREE membership activated! Confirm at http://offer-claim-now.com
spam,You've won a lottery prize of $1237! Call 07044433221 immediately.
spam,You are selected for VIP access. Register at http://verify-now.co
spam,FREE membership activated! Confirm at http://secure-update.net
spam,You've won a lottery prize of $605! Call 07044433221 immediately.
spam,Limited-time offer: Get iPhone 15 for 90% off! Redeem at http://verify-now.co
spam,Congratulations! You've been selected for a FREE Cash Prize. Visit http://offer-claim-now.com now.
