label,message
spam,FREE! Click this link! Offer expires soon.
spam,Claim now! Get your prize! Reply STOP to unsubscribe.
spam,Exclusive deal! Click this link! Don't miss out.
spam,Congratulations! Claim your reward! Terms apply.
spam,WIN! Click this link! Act now.
spam,WIN! Get your prize! Offer expires soon.
spam,Congratulations! Click this link! Offer expires soon.
spam,FREE! Claim your reward! Act now.
spam,URGENT! Your number was selected! Reply STOP to unsubscribe.
spam,Exclusive deal! Your number was selected! Terms apply.
spam,URGENT! Your number was selected! Act now.
spam,Claim now! You have won! Act now.
spam,Claim now! Claim your reward! Offer expires soon.
spam,Limited offer! Claim your reward! Don't miss out.
spam,Congratulations! Get your prize! Terms apply.
spam,WIN! Your number was selected! Don't miss out.
spam,Exclusive deal! Claim your reward! Offer expires soon.
spam,WIN! Your number was selected! Don't miss out.
spam,Exclusive deal! Get your prize! Reply STOP to unsubscribe.
spam,WIN! Your number was selected! Reply STOP to unsubscribe.
spam,Claim now! Click this link! Reply STOP to unsubscribe.
spam,URGENT! You have won! Don't miss out.
spam,Claim now! Get your prize! Terms apply.
spam,WIN! Your number was selected! Act now.
spam,WIN! Claim your reward! Offer expires soon.
spam,Claim now! Your number was selected! Offer expires soon.
spam,URGENT! You have won! Offer expires soon.
spam,Exclusive deal! You have won! Don't miss out.
spam,URGENT! Claim your reward! Offer expires soon.
spam,Claim now! You have won! Offer expires soon.
spam,Congratulations! Get your prize! Act now.
spam,Limited offer! Claim your reward! Terms apply.
spam,Congratulations! Click this link! Terms apply.
spam,FREE! You have won! Act now.
spam,FREE! Click this link! Reply STOP to unsubscribe.
spam,Exclusive deal! Get your prize! Act now.
spam,Exclusive deal! Click this link! Act now.
spam,Limited offer! You have won! Reply STOP to unsubscribe.
spam,Congratulations! You have won! Reply STOP to unsubscribe.
spam,FREE! Click this link! Act now.
spam,URGENT! Your number was selected! Terms apply.
spam,URGENT! Click this link! Terms apply.
spam,WIN! Your number was selected! Don't miss out.
spam,Exclusive deal! Click this link! Act now.
spam,WIN! You have won! Don't miss out.
spam,Claim now! You have won! Don't miss out.
spam,Claim now! Click this link! Terms apply.
spam,Exclusive deal! Claim your reward! Offer expires soon.
spam,FREE! Get your prize! Reply STOP to unsubscribe.
spam,FREE! You have won! Act now.
spam,URGENT! Claim your reward! Terms apply.
spam,URGENT! Claim your reward! Offer expires soon.
