label,message
spam,This is your boss. Urgent task — send ₹371 now to this link: https://oqlfskq.info/jkwvcgyh obypv
spam,You've been selected for a $1000 gift card. Confirm here: https://ppfxfzc.net/xstjyzfh btynn
spam,Your 2FA settings are outdated. Update here: https://keerukl.info/daytvwjr dwegm
spam,We detected unusual login attempt. Secure account: https://mbymrgc.com/bsubmazs gxozy
spam,You've been selected for a $1000 gift card. Confirm here: https://fotrrmy.org/hffzxfhx zjnau
spam,Meet local singles instantly. Start chat: https://gqshcdc.com/qtyoyqvu jselv
spam,You've been selected for a $1000 gift card. Confirm here: https://gysngoe.com/pzilswrk uojvu
spam,Congratulations! You've won a $500 Amazon gift card. Claim here https://oyslnzj.net/fqvghdyd vszed
spam,You are eligible for a refund due to overpayment. Claim: https://erecmdh.net/ilwjtxmy dcawn
spam,ACTION REQUIRED. Verify your bank account to avoid hold. https://ezvllst.info/gorhgqzz hyufr
spam,Your Netflix account is suspended. Update payment: https://kqjlfbu.net/gsrzxhxz vnfnr
spam,You've been selected for a $1000 gift card. Confirm here: https://cksogkv.org/giprpzou wdxbc
spam,You are eligible for a refund due to overpayment. Claim: https://ackxlsd.info/jlmmgffo nphei
spam,Congratulations! You've won a $500 Amazon gift card. Claim here https://ukhosxn.net/uopgihdd wodrx
spam,This is your boss. Urgent task — send ₹1485 now to this link: https://uxukwzg.info/clymxock kywhp
spam,"Exclusive adult content unlocked, verify age here: https://gxxsftz.net/rugoqswh hnmsj"
spam,Issue with your recent payment for order #3685. Fix now: https://itguklo.org/cviuzdlw vgjzw
spam,Thank you for payment! Claim your loyalty reward: https://ttflzlj.net/lxdwtibt uzozz
spam,Suspicious activity detected in your account. Review: https://anoeflw.info/uzijusmx qzwgj
spam,We detected unusual login attempt. Secure account: https://qbrwpyo.com/himfrfgh htoat
spam,"Exclusive adult content unlocked, verify age here: https://gyimhoq.com/ftxyhojd dzfsy"
spam,ACTION REQUIRED. Verify your bank account to avoid hold. https://gngtknq.org/ulvxfwtk lmcji
spam,You’re eligible for a government refund. Access it now: https://iytsehc.net/ufyeaepa qcsug
spam,You’re eligible for a government refund. Access it now: https://cacpbld.com/xkgakgby hywjn
spam,Final notice: unpaid toll detected. Resolve now: https://rkdyytt.org/gclgohna ouhqh
spam,ACTION REQUIRED. Verify your bank account to avoid hold. https://ypucses.info/gjvrnkph ehdbf
spam,"Hi Dad, I'm in trouble, need urgent money. Send here: https://oewdbnw.net/smijjljk grkmx"
spam,You are eligible for a refund due to overpayment. Claim: https://zaczgea.net/htvbwapl hygkd
spam,"Hi Dad, I'm in trouble, need urgent money. Send here: https://zrcfjlj.info/qdmkerft uzxop"
spam,ACTION REQUIRED. Verify your bank account to avoid hold. https://hzedqti.info/hchbfypi vfcad
spam,This is your boss. Urgent task — send ₹5123 now to this link: https://moazeya.com/yyaszodu xggaa
spam,Thank you for payment! Claim your loyalty reward: https://xrkfjcc.net/shddrpgy zgpgi
spam,You’re eligible for a government refund. Access it now: https://vwfidgl.info/bxzwampx zeljo
spam,You are eligible for a refund due to overpayment. Claim: https://mwkudvv.net/kznvoevc idbft
spam,ACTION REQUIRED. Verify your bank account to avoid hold. https://sissglp.org/kpiwopqm rmkgt
spam,Congratulations! You've won a $500 Amazon gift card. Claim here https://bhsnqoo.info/rufwfnvq wvbjb
spam,Congratulations! You've won a $500 Amazon gift card. Claim here https://ahqbcwk.info/nxmbiqyw kucmk
spam,Your 2FA settings are outdated. Update here: https://kdqtagi.org/zfwxyvvk znein
spam,Your parcel is pending customs fee of ₹4136. Pay here: https://whcnwvs.info/pnisdfia ondjy
spam,You’re eligible for a government refund. Access it now: https://sijsycm.com/exbjmrvc gzfnw
spam,Your 2FA settings are outdated. Update here: https://hlyuvhq.net/qqbevsio fcwdw
spam,Meet local singles instantly. Start chat: https://xlpixxh.com/hnkuvvjk qeiwg
spam,"Exclusive adult content unlocked, verify age here: https://cyoqxtd.info/zcfvruby mloey"
spam,Your 2FA settings are outdated. Update here: https://ffqxxbe.com/rocpiczt lgukh
spam,"Exclusive adult content unlocked, verify age here: https://epnzppz.com/jjajbtms twukh"
spam,We received your resume! Schedule interview at https://fhyjvfn.com/wzfdzrzs or call +9164888152 qdlwm
spam,Suspicious activity detected in your account. Review: https://ahkhfpc.org/ewaumiiw eoola
spam,We received your resume! Schedule interview at https://wbesomw.net/arshmtcx or call +9172139561 chned
spam,"Exclusive adult content unlocked, verify age here: https://ipfirnx.org/fqjetujz mbhqs"
spam,ACTION REQUIRED. Verify your bank account to avoid hold. https://zhmpsrg.net/jucjqnbn lmrqr
spam,You've been selected for a $1000 gift card. Confirm here: https://fukggmu.net/mefnmlvb ouigl
spam,You’re eligible for a government refund. Access it now: https://gnbklgj.com/aklndtwq ygjef
spam,Get delivery updates for order #3801. Track here https://vzxgskw.info/ielaheqe nkmbd
spam,Final notice: unpaid toll detected. Resolve now: https://izbcpns.org/ayvhbxvq znjbs
spam,Thank you for payment! Claim your loyalty reward: https://aiwrvwe.net/kxglxhdr bjepi
spam,"Hi Dad, I'm in trouble, need urgent money. Send here: https://drtpqnk.com/uhjzxzle xpdce"
spam,You’re eligible for a government refund. Access it now: https://umuhsnu.net/vcidaxzy veqwg
spam,ACTION REQUIRED. Verify your bank account to avoid hold. https://zkwctsm.info/egtwqcef cazvv
spam,Your parcel is pending customs fee of ₹5932. Pay here: https://qpjspee.org/ptfkfaga icqol
spam,Final notice: unpaid toll detected. Resolve now: https://owyqard.info/qxwnjdms xktvu
spam,You've been selected for a $1000 gift card. Confirm here: https://elkuyym.info/pdwrfouz qnqsb
spam,Issue with your recent payment for order #9398. Fix now: https://xqbenyt.info/zsiunfnj kdios
spam,Final notice: unpaid toll detected. Resolve now: https://pxuhbln.org/qguyufjs mbhms
spam,Suspicious activity detected in your account. Review: https://qriozvg.org/iaoohwrb mudzw
spam,Your Netflix account is suspended. Update payment: https://gzmovhp.info/trflmzwo nmpvo
spam,"Hi Dad, I'm in trouble, need urgent money. Send here: https://crulisu.net/jfhhiejy yspgv"
spam,"Exclusive adult content unlocked, verify age here: https://eripkqq.net/olpewlai hxkmf"
spam,You've been selected for a $1000 gift card. Confirm here: https://waxfyzf.net/rdmakgdh dqfft
spam,Final notice: unpaid toll detected. Resolve now: https://lxfrxmv.net/xyozikye hcmpz
spam,"Hi Dad, I'm in trouble, need urgent money. Send here: https://vjwviis.org/crrovluo wjbwo"
spam,You've been selected for a $1000 gift card. Confirm here: https://umtfadz.info/xfixtksl tnefr
spam,Your parcel is pending customs fee of ₹4150. Pay here: https://mpniqnl.info/cqlwwige xwbdc
spam,Your Netflix account is suspended. Update payment: https://mxfgyto.net/dxbdqifv qcouu
spam,We detected unusual login attempt. Secure account: https://fwwyhum.info/crgyxglc xlwvf
spam,ACTION REQUIRED. Verify your bank account to avoid hold. https://dewfkrd.net/fglxgkqj bsphe
spam,We detected unusual login attempt. Secure account: https://igltnfc.com/jcpfjvxi tqner
spam,"Exclusive adult content unlocked, verify age here: https://ygkfhxt.net/tcysgqvn lhdsk"
spam,Your credit score qualifies for zero‑interest Visa. Apply: https://dktckyv.net/uzuckgqh pxbso
spam,Thank you for payment! Claim your loyalty reward: https://diayauo.net/ysiutgjl exutu
spam,This is your boss. Urgent task — send ₹8666 now to this link: https://vmyrywy.org/spjjrksj jarfh
spam,We received your resume! Schedule interview at https://elzoybk.net/jfaewpjh or call +9160426408 zfzcl
spam,Your 2FA settings are outdated. Update here: https://ydxsull.info/ejxxlmyy uomyc
spam,"Hi Dad, I'm in trouble, need urgent money. Send here: https://rdqubzk.com/mqyvwciv zppir"
spam,Congratulations! You've won a $500 Amazon gift card. Claim here https://qjzvjlz.info/gklrbzti hjukh
spam,Congratulations! You've won a $500 Amazon gift card. Claim here https://ojcpuhy.net/ucmrscgg jegex
spam,We detected unusual login attempt. Secure account: https://iujdnha.net/mqzwxotj plhsq
spam,ACTION REQUIRED. Verify your bank account to avoid hold. https://wcoouss.info/givlijsu gnvwy
spam,You’re eligible for a government refund. Access it now: https://cdzukrf.com/bgsucgrs ejlcp
spam,We received your resume! Schedule interview at https://splomtj.info/tsrzgxav or call +9178421732 nsqxy
spam,"Hi Dad, I'm in trouble, need urgent money. Send here: https://jvkqcqy.org/cgrssasl urcmv"
spam,Issue with your recent payment for order #6396. Fix now: https://xydmjjn.com/xwbhntkb uhyyb
spam,Your credit score qualifies for zero‑interest Visa. Apply: https://bukiskb.com/smrzctep umetl
spam,We received your resume! Schedule interview at https://aujkxnc.com/hexjmive or call +9145303797 zlsyr
