label,message
spam,Your device is infected! Download protection tool: https://waaitetb.uk/5921 Code: zosgp
spam,Your parcel is on hold due to unpaid customs fee ₹5000. Pay now: https://tmqhrjnc.in/3922 Ref: uxcvx
spam,Your parcel is on hold due to unpaid customs fee ₹999. Pay now: https://izxhyzlf.in/2772 Ref: gilrh
spam,Hot local escorts available tonight. Call +447235059891 or visit https://qorbgryh.uk/7381 gsixu
spam,Your parcel is on hold due to unpaid customs fee ₹999. Pay now: https://jqvqnoli.in/8593 Ref: vlvgq
spam,Your parcel is on hold due to unpaid customs fee ₹1499. Pay now: https://sqxzojox.net/4908 Ref: veqmh
spam,Your parcel is on hold due to unpaid customs fee ₹499. Pay now: https://lknaxjbw.net/4767 Ref: jutyu
spam,Sexy video unlocked! Watch now: https://vtstaijg.uk/3351 Pass: utjhu
spam,Sexy video unlocked! Watch now: https://cokirnpm.in/4321 Pass: bgobb
spam,Get instant hookup! Meet singles near you. Register now: https://trjtjdgo.com/5729 Promo nlsnx
spam,Get instant hookup! Meet singles near you. Register now: https://cuwtxvtt.net/6161 Promo ntyzl
spam,Your child's phone is temporarily blocked due to suspicious activity. Verify parent ID: https://kzyfzehf.com/3456 (sjugi)
spam,Courier attempted delivery. Reschedule here: https://wtygymtl.in/3586 TrackID ululh
spam,Your device is infected! Download protection tool: https://aevhiahj.com/9293 Code: jlbud
spam,Tax violation detected! Immediate penalty ₹5000. Pay now to avoid legal action. Link: https://ahaihfpx.com/1152
spam,Your parcel is on hold due to unpaid customs fee ₹5000. Pay now: https://gnqpvfoq.in/8690 Ref: llvft
spam,Your child's phone is temporarily blocked due to suspicious activity. Verify parent ID: https://wubxkxsc.uk/6386 (siqjr)
spam,Sexy video unlocked! Watch now: https://qnfztjyw.net/7681 Pass: zwuwl
spam,Govt refund of ₹499 approved. Complete KYC here: https://jmvfxsqa.net/1082 CaseID mtebp
spam,Get instant hookup! Meet singles near you. Register now: https://ejyjznlk.in/5466 Promo ivyhz
spam,Your child's phone is temporarily blocked due to suspicious activity. Verify parent ID: https://kesbkjvt.net/9231 (keshv)
spam,Tax violation detected! Immediate penalty ₹499. Pay now to avoid legal action. Link: https://szzgrqyh.com/9111
spam,Sexy video unlocked! Watch now: https://ebviurad.uk/5629 Pass: guwss
spam,Hot local escorts available tonight. Call +447606642095 or visit https://lylncigz.net/8737 aqkdx
spam,Sexy video unlocked! Watch now: https://oombcqfz.net/9399 Pass: ypznv
spam,"Bank alert: Unusual debit of ₹999. If not you, block account: https://nrniydhl.in/6845"
spam,Hot local escorts available tonight. Call +918939147117 or visit https://vgqvtkqc.net/5056 okznb
spam,Your child's phone is temporarily blocked due to suspicious activity. Verify parent ID: https://keqdmmtt.com/8732 (hfobb)
spam,Govt refund of ₹10000 approved. Complete KYC here: https://wqzvcaso.in/7770 CaseID ycukk
spam,Get instant hookup! Meet singles near you. Register now: https://lznegqzh.in/1128 Promo rcpyn
spam,"Bank alert: Unusual debit of ₹5000. If not you, block account: https://qmtktobj.com/7511"
spam,Courier attempted delivery. Reschedule here: https://tcljxdit.uk/3980 TrackID afbsy
spam,Get instant hookup! Meet singles near you. Register now: https://qgkresiu.com/8727 Promo cypkv
spam,Your parcel is on hold due to unpaid customs fee ₹999. Pay now: https://kwtbisji.net/4035 Ref: pghah
